::1 - Mon Oct 17 2022 09:33:44 GMT+0530 (India Standard Time) - OPTIONS /api/artist-type HTTP/1.1 200 8 - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:33:44 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter= HTTP/1.1 200 8 - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:33:45 GMT+0530 (India Standard Time) - GET /api/artist-type HTTP/1.1 200 49 - 104 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:33:45 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter= HTTP/1.1 200 68 - 511 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:06 GMT+0530 (India Standard Time) - OPTIONS /api/services HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:06 GMT+0530 (India Standard Time) - OPTIONS /api/testimonial HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:06 GMT+0530 (India Standard Time) - GET /api/services HTTP/1.1 200 49 - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:06 GMT+0530 (India Standard Time) - OPTIONS /api/clients/logo HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:06 GMT+0530 (India Standard Time) - GET /api/testimonial HTTP/1.1 200 49 - 5 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:06 GMT+0530 (India Standard Time) - GET /api/clients/logo HTTP/1.1 200 49 - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:09 GMT+0530 (India Standard Time) - OPTIONS /api/artwork-type HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:09 GMT+0530 (India Standard Time) - GET /api/artwork-type HTTP/1.1 200 49 - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:15 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:15 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 200 49 - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 805 - 27 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 4 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 4 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 22 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 - - 25 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 5 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:18 GMT+0530 (India Standard Time) - GET /favicon.ico HTTP/1.1 200 - - 7 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:19 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:46 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:46 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 304 - - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:49 GMT+0530 (India Standard Time) - OPTIONS /api/artist-type HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:49 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter= HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:34:49 GMT+0530 (India Standard Time) - GET /api/artist-type HTTP/1.1 304 - - 4 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
